,Title,Year,imdbID,Type,Poster
10,Pokémon: Jirachi - Wish Maker,2003,tt0420076,movie,https://m.media-amazon.com/images/M/MV5BNjVmYTZkZjUtMGVhNS00NjQwLWIyM2UtYWNkZjNiYTY1ZjhhXkEyXkFqcGc@._V1_SX300.jpg
11,Pokémon the Movie: Destiny Deoxys,2004,tt0435286,movie,https://m.media-amazon.com/images/M/MV5BMTk4NDc5MDMxNV5BMl5BanBnXkFtZTcwMjM2NjcyMQ@@._V1_SX300.jpg
12,Pokémon: The Rise of Darkrai,2007,tt1226251,movie,https://m.media-amazon.com/images/M/MV5BMTQ4MTYzODUzMF5BMl5BanBnXkFtZTgwMTcxOTk0MDE@._V1_SX300.jpg
13,Pokémon Origins,2013,tt3218680,series,https://m.media-amazon.com/images/M/MV5BMTI2ZTVkYjMtZDY0Ni00NTQxLWE0NTQtNWQ1NDU3Njc5ZmQ3XkEyXkFqcGc@._V1_SX300.jpg
14,Pokémon: Mewtwo Returns,2000,tt0304564,movie,https://m.media-amazon.com/images/M/MV5BMTM4NTAxMTQ4OV5BMl5BanBnXkFtZTYwNTM2MjI5._V1_SX300.jpg
15,Pokémon: Arceus and the Jewel of Life,2009,tt1468843,movie,https://m.media-amazon.com/images/M/MV5BNzI5Y2NlZGYtOTM5NS00NmI1LWI3YWUtZWY5OTdhMTI5MTVlXkEyXkFqcGc@._V1_SX300.jpg
16,Pokémon Concierge,2023,tt26916286,series,https://m.media-amazon.com/images/M/MV5BY2VmNmY2YTctYzAyYy00YmRiLTg2NjYtMzQ2MmMwMTQ3N2NkXkEyXkFqcGc@._V1_SX300.jpg
17,Pokémon the Movie: The Power of Us,2018,tt8108230,movie,https://m.media-amazon.com/images/M/MV5BNWZiMGUzNTMtNmFkMS00YWQwLTgwOTYtNTA4YWFhNjBkM2Q2XkEyXkFqcGc@._V1_SX300.jpg
18,Pokémon Ranger and the Temple of the Sea,2006,tt1000095,movie,https://m.media-amazon.com/images/M/MV5BMTczNjg3MDgyOV5BMl5BanBnXkFtZTgwMTc2MzQ2NjE@._V1_SX300.jpg
19,Pokémon: Giratina and the Sky Warrior,2008,tt1160525,movie,https://m.media-amazon.com/images/M/MV5BMzFlYWUxN2QtMjZlNC00ZDBlLTljYzEtMTJkYzEyODM3Nzc3XkEyXkFqcGc@._V1_SX300.jpg
20,Pokémon the Movie: Secrets of the Jungle,2020,tt11819890,movie,https://m.media-amazon.com/images/M/MV5BY2NlMTFlNjMtNTg2Yi00MzkwLTk2NDUtMWNjZjU2MmEwOTkzXkEyXkFqcGc@._V1_SX300.jpg
21,Pokémon: Zoroark: Master of Illusions,2010,tt1690470,movie,https://m.media-amazon.com/images/M/MV5BOGM4ZGZiMWEtMzIxOS00M2I4LWJkNGQtMzY1YTQzOWM4N2U3XkEyXkFqcGc@._V1_SX300.jpg
22,Pokémon the Movie: Hoopa and the Clash of Ages,2015,tt4503906,movie,https://m.media-amazon.com/images/M/MV5BOTc4MzA2OTg1OF5BMl5BanBnXkFtZTgwNzcyNDAwODE@._V1_SX300.jpg
23,Pokémon the Movie: White - Victini and Zekrom,2011,tt1739212,movie,https://m.media-amazon.com/images/M/MV5BZjkzNDVjZWYtYTljNS00YmQxLWFkY2UtN2E0NGJlNzE0NDM2XkEyXkFqcGc@._V1_SX300.jpg
24,Pokémon the Movie: Kyurem vs. the Sword of Justice,2012,tt2549540,movie,https://m.media-amazon.com/images/M/MV5BNDY4NjA4MjYxNV5BMl5BanBnXkFtZTgwMjM0MDgxMDI@._V1_SX300.jpg
25,Pokémon the Movie: Diancie and the Cocoon of Destruction,2014,tt3918368,movie,https://m.media-amazon.com/images/M/MV5BZmIxNTYzODctY2ZlNS00Njc1LWFkMGUtNTI1MTlhZTFjMjNjXkEyXkFqcGc@._V1_SX300.jpg
26,Pokémon the Movie: Genesect and the Legend Awakened,2013,tt3257582,movie,https://m.media-amazon.com/images/M/MV5BOGQ4MmY0ZWEtNmI4NC00NWZlLWE5ZjEtNWUxNjg2MTY0ZGI3XkEyXkFqcGc@._V1_SX300.jpg
27,Pokémon the Movie: Volcanion and the Mechanical Marvel,2016,tt5889204,movie,https://m.media-amazon.com/images/M/MV5BMTk0NzI2Y2YtOGVjYi00YTUwLWEwNmEtODk1YjlhYzQ0ZTY5XkEyXkFqcGc@._V1_SX300.jpg
28,Pokémon the Movie: Black - Victini and Reshiram,2011,tt1961324,movie,https://m.media-amazon.com/images/M/MV5BNmMwMzljYTgtY2NmNS00M2FhLWI0YzMtY2Y3MzlmMzBhYTE1XkEyXkFqcGc@._V1_SX300.jpg
29,Pokémon Horizons: The Series,2023–,tt26692417,series,https://m.media-amazon.com/images/M/MV5BNDRiNzNiNjAtMWU5OS00ODYwLWI0NTAtZjYwNjVhMDE1NDhmXkEyXkFqcGc@._V1_SX300.jpg
30,Pokémon Yellow Version: Special Pikachu Edition,1998,tt0217732,game,https://m.media-amazon.com/images/M/MV5BMTk0ZGE5MjItMzA2Mi00ODI0LTlkMGUtZmVmOWVkODFhZTM2XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
31,Pokémon Journeys: The Series,2019–2023,tt14033496,series,https://m.media-amazon.com/images/M/MV5BN2QzODQ2OGItZGIwMy00MTNlLThhNmItNTk4Nzc3YjM0YmQzXkEyXkFqcGc@._V1_SX300.jpg
32,Pokémon,1996,tt0236617,game,N/A
33,Pokémon Emerald Version,2004,tt0478230,game,https://m.media-amazon.com/images/M/MV5BZWYyMjcwZTgtZjYyNC00ZTE0LTljNDItYjVkZTQ5M2JlZDgyXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
34,Pokémon Generations,2016,tt6071336,series,https://m.media-amazon.com/images/M/MV5BYjAwZTgwN2ItZTY0YS00ZjU4LWEzMDgtNmVmNDhhNjk1MzhjXkEyXkFqcGc@._V1_SX300.jpg
35,Pokémon X,2013,tt2634704,game,https://m.media-amazon.com/images/M/MV5BNTg2OWJjZDAtMmE3ZC00ZjdlLTg5YmMtYjU3NGE1YTk4MGU0XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
36,Pokémon: Pikachu's Vacation,1998,tt0210233,movie,https://m.media-amazon.com/images/M/MV5BZWY3OWMwM2YtNzRlZi00MmE2LWE3ZWMtZTY4MDQ5ZTc2ZjQ2XkEyXkFqcGc@._V1_SX300.jpg
37,Pokémon Y,2013,tt2634706,game,https://m.media-amazon.com/images/M/MV5BMDFmYjVjZmUtNTg5Zi00OWZkLTkzNjgtOGExYjhlOTNlODc3XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
38,Serie Pokemon XY,2014–2017,tt12987648,series,https://m.media-amazon.com/images/M/MV5BZmJhZWQ2NzItNDA4Ni00N2RkLTk2MmYtNDZjYThmNDc2M2U2XkEyXkFqcGc@._V1_SX300.jpg
39,Pokémon Ruby Version,2002,tt0344215,game,https://m.media-amazon.com/images/M/MV5BODM2MTFlNTAtNDYzYS00ZGU1LWE0NmQtMmY3YmExZWU2ZWVkXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
40,Pokémon Chronicles,2002–2004,tt1294022,series,https://m.media-amazon.com/images/M/MV5BYjE2ZGFmM2ItZDFmMi00MTc0LWI1M2UtNGFhY2ZkOTc2OWUwXkEyXkFqcGc@._V1_SX300.jpg
41,Pokémon Gold Version,1999,tt0310011,game,N/A
42,Pokémon: The Arceus Chronicles,2022,tt21970564,series,https://m.media-amazon.com/images/M/MV5BZTBkNjA5NTQtMDY0NC00ZDQ1LWE4NzEtOTEwYTZlMDFiMWJhXkEyXkFqcGc@._V1_SX300.jpg
43,Pokémon Sapphire Version,2002,tt0344216,game,https://m.media-amazon.com/images/M/MV5BY2Q2MTVjZTUtMTRjNS00OTA0LTljZDQtYWM5NTQ4M2U3Mzc0XkEyXkFqcGdeQXVyNjM2NTM3ODA@._V1_SX300.jpg
44,Pokémon: The Arceus Chronicles,2022,tt21970564,series,https://m.media-amazon.com/images/M/MV5BZTBkNjA5NTQtMDY0NC00ZDQ1LWE4NzEtOTEwYTZlMDFiMWJhXkEyXkFqcGc@._V1_SX300.jpg
45,Pokémon Master Journeys,2021,tt15416672,series,https://m.media-amazon.com/images/M/MV5BMDA0ZGMzNWUtM2JmYy00MWY1LTg4NzktNTFjMzIyNTE3NjA4XkEyXkFqcGc@._V1_SX300.jpg
46,The Mastermind of Mirage Pokémon,2006,tt1371721,movie,https://m.media-amazon.com/images/M/MV5BMTE4NDlhODYtNzAyNC00NmMwLTk5YzItM2RkNzkyNDYzYzllXkEyXkFqcGdeQXVyOTA1ODU0Mzc@._V1_SX300.jpg
47,Pokémon: The Uncut Story of Mewtwo's Origin,1999,tt6277156,movie,https://m.media-amazon.com/images/M/MV5BZTQ4NTg1YTItNTM2Ny00YjQxLWFjZWMtOGRlYTVkNmM1Yjc3XkEyXkFqcGc@._V1_SX300.jpg
48,Pokemon: Pikachu's Rescue Adventure,1999,tt0210235,movie,https://m.media-amazon.com/images/M/MV5BYjM5NzkwNDUtOGQ3Ny00NzIyLWI5MjMtNzk5MDUyNWYzMGFhXkEyXkFqcGc@._V1_SX300.jpg
49,Pokémon: FireRed Version,2004,tt0433620,game,https://m.media-amazon.com/images/M/MV5BNzU0ODU2NjczOF5BMl5BanBnXkFtZTcwNDk2MzE2MQ@@._V1_SX300.jpg
50,Pokémon: Stadium,1998,tt0280041,game,N/A
51,Pokémon Ruby Version,2002,tt0432576,game,N/A
52,Pokémon Sword,2019,tt9910948,game,https://m.media-amazon.com/images/M/MV5BNDM3ZGIxOTYtZDIwOS00YzRmLTg1YjMtODU0OTM3ZWEyYjcxXkEyXkFqcGdeQXVyMjMxOTcxOTI@._V1_SX300.jpg
53,Pokémon: Mega Evolution,2014–2015,tt3657074,series,https://m.media-amazon.com/images/M/MV5BMmVmNjAyMzYtODIxMy00OWRlLTk5MTgtMmQ3NGEzMDE1OTY5XkEyXkFqcGdeQXVyMjQ5NjMxNDA@._V1_SX300.jpg
54,Pokémon: Twilight Wings,2020,tt11547516,series,https://m.media-amazon.com/images/M/MV5BMmRjMTIzNzMtODMxMS00Y2FkLWIzZjQtMTRiNTkyN2U4ZmUxXkEyXkFqcGc@._V1_SX300.jpg
55,Pokémon Evolutions,2021,tt15356258,series,https://m.media-amazon.com/images/M/MV5BNDBjNWJjZjItYTA3Yi00NmI0LTgxNjEtMzJlMTYyYzg2N2EwXkEyXkFqcGc@._V1_SX300.jpg
56,Pokémon: Sun & Moon Ultra Adventures,2018–2019,tt9860322,series,https://m.media-amazon.com/images/M/MV5BNjU5NWJkZGQtMzViOC00YzFlLThiZjktYzAwMWYxZGU1NDdhXkEyXkFqcGc@._V1_SX300.jpg
57,Pokémon Snap,1999,tt0210910,game,N/A
58,Pokemon: The Legend of Thunder,2001,tt3367860,series,https://m.media-amazon.com/images/M/MV5BOGM2OWEzMzMtM2ExYi00NGZmLWI5MWEtNzQzYmJkZTI3YjBiXkEyXkFqcGdeQXVyMjQ3NTQ4MjQ@._V1_SX300.jpg
59,Pokemon: Crystal Version,2000,tt0288740,game,N/A
60,Pokémon: LeafGreen Version,2004,tt0433621,game,N/A
61,Pokémon Sun and Moon Abridged,2016–,tt8319672,series,https://m.media-amazon.com/images/M/MV5BMDJmMWJiMTAtYTg5OS00ZjZkLWIyOTItMzdjYjU0MTRmNWY4XkEyXkFqcGdeQXVyODc2NDgxMDU@._V1_SX300.jpg
62,Pokémon Shield,2019,tt9866210,game,https://m.media-amazon.com/images/M/MV5BMDM3OTQxYTgtMzRiOC00NmNlLWJiYmMtNzBlMTUzMzBjZmI5XkEyXkFqcGdeQXVyMjMxOTcxOTI@._V1_SX300.jpg
63,Pokémon Pearl Version,2006,tt2016972,game,N/A
64,Pokémon White Version,2010,tt1731223,game,https://m.media-amazon.com/images/M/MV5BNTFiMmY2YTktN2U0Mi00MmUzLWFhNzUtNzIxZDk3YTk1NWYxXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
65,Pokémon: Vol. 1: I Choose You! Pikachu!,1999,tt0207656,movie,https://m.media-amazon.com/images/M/MV5BMTIwNjA1OTI1N15BMl5BanBnXkFtZTcwMzkzMjgxMQ@@._V1_SX300.jpg
66,Pokémon Apokélypse,2010,tt1831736,movie,https://m.media-amazon.com/images/M/MV5BZTdkM2Y2ODEtMGEzNC00NzA3LWJjY2QtNjA4NTMzMjRkYzdhXkEyXkFqcGc@._V1_SX300.jpg
67,Pokémon: Diamond and Pearl,2006–2010,tt14053732,series,https://m.media-amazon.com/images/M/MV5BY2EzZjE4YjgtZDlmZS00MDUxLWJhNTItODhkZTNmNGY1MzlmXkEyXkFqcGdeQXVyNjg0NDgwMjk@._V1_SX300.jpg
68,Pokémon Colosseum,2003,tt3472910,game,https://m.media-amazon.com/images/M/MV5BMDMxMWY4MjgtZGJiYy00YmZmLTk0ODEtOGM5YzQ0MjRlMjllL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
69,Pokémon Origins,2013,tt3224374,series,N/A
70,The Power of One: The Pokemon 2000 Movie Special,2000,tt0382918,movie,https://m.media-amazon.com/images/M/MV5BYTk5MjE0ZWMtZjFlMy00ZWNjLThjYmEtMTgwODExODQ1MTBkXkEyXkFqcGc@._V1_SX300.jpg
71,Pokémon Silver,1999,tt0217730,game,N/A
72,Pokémon Ultimate Journeys,2021–2023,tt23640964,series,https://m.media-amazon.com/images/M/MV5BZDY5MzA4NWQtNzdlZS00OWMzLWFkZTUtN2Q3ZjBkYmEzZDVjXkEyXkFqcGc@._V1_SX300.jpg
73,Pokémon: Stadium 2,2000,tt0282071,game,N/A
74,Pokémon: Indigo League,1998–1999,tt35224109,series,https://m.media-amazon.com/images/M/MV5BYzk2ZWQxMTItNDU0Yi00OTlkLWFhNDgtZDM2OGZlZjFmZDU1XkEyXkFqcGc@._V1_SX300.jpg
75,Pokémon: Hisuian Snow,2022,tt19848562,series,https://m.media-amazon.com/images/M/MV5BMzc0YzE3N2UtODAwNC00M2RlLTg5NmYtYWNlY2EyYmUyYTEzXkEyXkFqcGc@._V1_SX300.jpg
76,Pokémon Diamond Version,2006,tt2009554,game,N/A
77,Pokémon: Pikachu's Winter Vacation,1998–2000,tt3452320,series,https://m.media-amazon.com/images/M/MV5BMzYwOTZkYjMtNTM5ZC00NTU4LThjOTMtOGEzYWJkZjNlMmViXkEyXkFqcGc@._V1_SX300.jpg
78,Pokémon Sapphire Version,2002,tt3396424,game,N/A
79,Pokémon Mystery Dungeon: Team Go-Getters Out of the Gate!,2006,tt0874648,movie,https://m.media-amazon.com/images/M/MV5BNjA4MjgzYzAtNGVjNy00NGQ3LTg5MTItNzIyZjM3ZjBkOWE5XkEyXkFqcGc@._V1_SX300.jpg
80,Pokémon: Gotta Dance!!,2003,tt0431991,movie,https://m.media-amazon.com/images/M/MV5BOTc3NWEyN2EtNmQ1MC00MzIyLWFlNjMtNGViMWMyYWMzNGMyXkEyXkFqcGc@._V1_SX300.jpg
81,Pokémon: Camp Pikachu,2002,tt3427954,movie,https://m.media-amazon.com/images/M/MV5BYzgwZDE1ZGUtNzJlZS00ZmEzLTkzMjUtODY5MDJlMGZmNTcyXkEyXkFqcGc@._V1_SX300.jpg
82,Pokémon SoulSilver Version,2009,tt1606808,game,https://m.media-amazon.com/images/M/MV5BYzc5MWU5MjktYmFkYy00MTAwLWFhZWItZmQ2NmUxZDRlYThlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
83,Pokémon Black Version,2010,tt1731222,game,N/A
84,Pokémon Red Version,1996,tt0217733,game,N/A
85,Pokémon: Vol. 6: Seaside Pikachu,1999,tt0207663,movie,https://m.media-amazon.com/images/M/MV5BMTI2MzI5MzA0N15BMl5BanBnXkFtZTcwNjk2NTkyMQ@@._V1_SX300.jpg
86,Pokémon: Vol. 3: The Sisters of Cerulean City,1999,tt0207660,movie,https://m.media-amazon.com/images/M/MV5BMTIwNjA1OTI1N15BMl5BanBnXkFtZTcwMzkzMjgxMQ@@._V1_SX300.jpg
87,Pokemon Blue Version,1996,tt0217729,game,N/A
88,Pokémon HeartGold Version,2009,tt1606807,game,N/A
89,Pokémon Mystery Dungeon: Explorers of Sky,2009,tt5838358,game,https://m.media-amazon.com/images/M/MV5BODlmNjc0OTUtNzMxZi00OTI3LWFmMDYtMzg1YTRmMjQ0NzdhXkEyXkFqcGdeQXVyMzg4MjI1MDU@._V1_SX300.jpg
90,Pokémon: Vol. 14: Jigglypuff Pop,1999,tt0251337,movie,https://m.media-amazon.com/images/M/MV5BMTQ1MDA4NDYzNl5BMl5BanBnXkFtZTcwNzM1MDE2MQ@@._V1_SX300.jpg
91,Pokemon Black and White,2010–2013,tt23867882,series,https://m.media-amazon.com/images/M/MV5BNzllN2I2ZjEtYThjMy00MzY4LTlkM2YtOGJmMDI2ZjU5N2RhXkEyXkFqcGc@._V1_SX300.jpg
92,To Be a Pokémon Master: Ultimate Journeys: The Series,2023,tt29079338,series,https://m.media-amazon.com/images/M/MV5BMThiMWVlMGUtZGQxNC00N2ExLWJkNjctNGRiNTQyM2NlYWRjXkEyXkFqcGc@._V1_SX300.jpg
93,Pokémon Black Version 2,2012,tt2332332,game,N/A
94,Pokémon: Vol. 5: Thunder Shock!,1999,tt0207662,movie,https://m.media-amazon.com/images/M/MV5BMTI2MzI5MzA0N15BMl5BanBnXkFtZTcwNjk2NTkyMQ@@._V1_SX300.jpg
95,Pokémon Green Version,1996,tt0217731,game,https://m.media-amazon.com/images/M/MV5BYTE4ZTMyOWEtZDUwZS00ODFlLWI0YzgtZmI3NDZhZWNhMzkyXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
96,Pokémon Mystery Dungeon: Explorers of Time,2007,tt1731217,game,https://m.media-amazon.com/images/M/MV5BOTE1NGI5ODktMzJjOC00NTUxLWE2ZTktNjIwZDcwN2NmZmIyXkEyXkFqcGdeQXVyMzg4MjI1MDU@._V1_SX300.jpg
97,Pokémon Platinum Version,2008,tt1293615,game,https://m.media-amazon.com/images/M/MV5BMjc0OGI4MzgtYmY1OC00YWI1LTllYzQtYTRiYThmYjdiZGFiXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
98,Pokémon: Paldean Winds,2023,tt29604743,series,https://m.media-amazon.com/images/M/MV5BNjAyYzMxYTktNjU5OS00M2MwLTgzOTgtYzU4MWQ1MmE1YzcyXkEyXkFqcGc@._V1_SX300.jpg
99,Pokémon: PokéRap,1998,tt6328736,movie,https://m.media-amazon.com/images/M/MV5BYzBjYzI1YTYtMGQ4NC00YzllLTlhMGItMDcyMDdkZjQ4MjI0XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
100,Pokémon Mystery Dungeon: Explorers of Darkness,2007,tt1731218,game,https://m.media-amazon.com/images/M/MV5BYmNjMTA4ODQtODk3OC00NzgwLWEzY2QtYWI5OTkwMjVmMzVlXkEyXkFqcGdeQXVyMzg4MjI1MDU@._V1_SX300.jpg
101,Pokémon Mystery Dungeon: Explorers of Time & Darkness,2007,tt5790984,movie,https://m.media-amazon.com/images/M/MV5BZDI3NTQyZjUtZWZhNi00ZWQ4LThlNDUtM2FlZmY2ZjkzMDBlXkEyXkFqcGc@._V1_SX300.jpg
102,The End of Pokémon,2019,tt10515950,movie,https://m.media-amazon.com/images/M/MV5BZDFmMmQ2NDgtMjYzMi00Y2MyLTk1NWQtMDA2NjM0ZDhlZDEzXkEyXkFqcGc@._V1_SX300.jpg
103,Pokémon Puzzle League,2000,tt0305969,game,N/A
104,New Pokémon Snap,2021,tt12564552,game,https://m.media-amazon.com/images/M/MV5BYWVkMjE2NDEtOGNjYy00MzA5LTg2MmEtMTZkNWVlYmY0ZGRhXkEyXkFqcGdeQXVyMTEwNDU1MzEy._V1_SX300.jpg
105,Pokémon: Path to the Peak,2023,tt28664721,series,https://m.media-amazon.com/images/M/MV5BYmY3NmZkMzMtYzU5My00Mzc4LTg4M2MtMmE0ZmE5ZDcyMmIzXkEyXkFqcGc@._V1_SX300.jpg
106,Pokémon White Version 2,2012,tt2332552,game,N/A
107,Pokémon: Vol. 12: Pikachu Party,1999,tt0251335,movie,https://m.media-amazon.com/images/M/MV5BMTYxMTg4MDc3NV5BMl5BanBnXkFtZTcwMDc1MDU1MQ@@._V1_SX300.jpg
108,Pokémon Mystery Dungeon: Explorers of Sky: Beyond Time and Darkness,2009,tt5791004,movie,https://m.media-amazon.com/images/M/MV5BN2UxNzYyNjktZTVhOC00NjQ1LTg2NDMtMDQ1Yzc0ZjU0M2Y1XkEyXkFqcGdeQXVyMTI2NTM4NjM1._V1_SX300.jpg
109,Pokémon XD: Gale of Darkness,2005,tt1244610,game,https://m.media-amazon.com/images/M/MV5BM2ZlMjdlYTUtMWJmMi00Y2JkLTg4NGUtM2Q1OWRiMGYzODA4XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
110,Pokémon: Vol. 21: Po-Ke Corral,2000,tt0251344,movie,https://m.media-amazon.com/images/M/MV5BMTQwNDIzOTkyNl5BMl5BanBnXkFtZTcwOTA1MzAzMQ@@._V1_SX300.jpg
111,Pokémon: Vol. 22: Hang Ten Pikachu,2000,tt0251345,movie,https://m.media-amazon.com/images/M/MV5BODYwMjgyMTg1NV5BMl5BanBnXkFtZTcwNzQyNjgxMQ@@._V1_SX300.jpg
112,Pokémon: Happy Birthday to You!,2017,tt13723778,movie,https://m.media-amazon.com/images/M/MV5BMGU4NjdjZDYtOGEyMC00NWIwLWIyOTMtNjFmNzcyODQ1Nzc0XkEyXkFqcGdeQXVyMTE5NDQ1MzQ3._V1_SX300.jpg
113,Pokemon the 'Bridged Series,2010–2018,tt4453068,series,https://m.media-amazon.com/images/M/MV5BZjRlMmVjMzQtZjgzOC00MGRiLTljODAtMGE5OGYxNmE2NzE3XkEyXkFqcGc@._V1_SX300.jpg
114,Pokémon: Vol. 15: Charizard!,1999,tt0251338,movie,https://m.media-amazon.com/images/M/MV5BMTI2MzI5MzA0N15BMl5BanBnXkFtZTcwNjk2NTkyMQ@@._V1_SX300.jpg
115,Pokémon: Vol. 11: The Great Race,1999,tt0251334,movie,https://m.media-amazon.com/images/M/MV5BMTQ1MDA4NDYzNl5BMl5BanBnXkFtZTcwNzM1MDE2MQ@@._V1_SX300.jpg
116,Pokémon: Vol. 13: Wake Up Snorlax!,1999,tt0251336,movie,https://m.media-amazon.com/images/M/MV5BMTI2MzI5MzA0N15BMl5BanBnXkFtZTcwNjk2NTkyMQ@@._V1_SX300.jpg
117,Pokémon Mystery Dungeon: Gates to Infinity,2012,tt2701558,game,https://m.media-amazon.com/images/M/MV5BODhkMDliNWYtZDNhYS00MDY1LTgwODAtMjU3Nzk2ZWZlODFjXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
118,Pokémon Omega Ruby,2014,tt3716344,game,N/A
119,Pokemon XYZ,2016,tt6448244,movie,https://m.media-amazon.com/images/M/MV5BYjVlYTM5NGItZWQ2NS00NWVmLWE0ZjgtNzg2YjMxMjdhYzg3XkEyXkFqcGdeQXVyNjQ0MTEzNzc@._V1_SX300.jpg
120,Pokémon: Vol. 16: Totally Togepi,1999,tt0251339,movie,https://m.media-amazon.com/images/M/MV5BMTQ1MDA4NDYzNl5BMl5BanBnXkFtZTcwNzM1MDE2MQ@@._V1_SX300.jpg
121,Pokémon Mystery Dungeon: Rescue Team DX,2020,tt11586654,game,https://m.media-amazon.com/images/M/MV5BODJiN2UyMWUtOGY4Ny00OWRjLWJlZWItNmRjYWExZmRhNDA4XkEyXkFqcGdeQXVyMjMxOTcxOTI@._V1_SX300.jpg
122,Pokémon: Vol. 17: Picture Perfect,2000,tt0251340,movie,https://m.media-amazon.com/images/M/MV5BMTI2MzI5MzA0N15BMl5BanBnXkFtZTcwNjk2NTkyMQ@@._V1_SX300.jpg
123,Pokémon Alpha Sapphire,2014,tt3716398,game,N/A
124,Pokémon Battle Revolution,2006,tt1244611,game,N/A
125,Türk yapimi pokemon 1-6,2012,tt3990338,movie,N/A
126,Pokémon: Vol. 18: Water Blast,2000,tt0251341,movie,https://m.media-amazon.com/images/M/MV5BMTQ1MDA4NDYzNl5BMl5BanBnXkFtZTcwNzM1MDE2MQ@@._V1_SX300.jpg
127,Pokémon: Vol. 20: The Final Badge,2000,tt0251343,movie,https://m.media-amazon.com/images/M/MV5BMTQ1MDA4NDYzNl5BMl5BanBnXkFtZTcwNzM1MDE2MQ@@._V1_SX300.jpg
128,Pokémon Ranger: Guardian Signs,2010,tt8393838,series,https://m.media-amazon.com/images/M/MV5BODVkYjI3ZTYtZThhMy00ZjM1LWI0MDktYTExN2JkN2Y2YmVjXkEyXkFqcGc@._V1_SX300.jpg
129,Pikachu and the Pokémon Music Squad,2015,tt6018104,movie,https://m.media-amazon.com/images/M/MV5BMTUyYTNlOTgtN2JiNi00MzA2LWJhMzktNGUzMjYwNWRiODFlXkEyXkFqcGc@._V1_SX300.jpg
130,Pokémon: Vol. 19: Our Hero Meowth,2000,tt0251342,movie,https://m.media-amazon.com/images/M/MV5BMTQ1MDA4NDYzNl5BMl5BanBnXkFtZTcwNzM1MDE2MQ@@._V1_SX300.jpg
